1322.28,3197.81,0,53,52,18,30,31,0,53,52,18,30,33,34,35,36,32,31,35,46,45,34,33
1420.23,3200.79,0,53,30,18,19,20,21,22,26,38,39,40,28,29,25,11,12,9,8,7,6,15
2159.17,2665.51,1,32,36,15,16,32,31,30,18,52,53,30,18,19,20,26,27,23,22,26,38,44
2511.26,479.56,11,12,9,10,11,25,29,12,13,41,29,28,27,39,38,37,42,44,38,37,42,43
2505.64,452.13,11,12,9,8,13,12,29,41,47,36,15,6,5,16,17,4,5,6,15,16,32,36
2463.47,246.41,11,12,9,10,11,12,29,41,47,49,48,50,51,49,48,44,46,35,36,47,14,13
2448.93,208.31,12,11,10,9,8,13,12,29,25,24,28,29,25,24,23,27,39,38,44,42,43,45
2496.71,441.46,12,11,10,9,12,29,28,24,25,29,12,11,10,9,8,13,41,29,25,11,12,9
1957.36,631.21,12,29,41,13,14,7,8,13,14,15,36,32,31,30,33,43,45,34,35,31,32,1
2205.82,589.17,12,29,28,40,39,38,44,42,43,45,34,35,31,0,1,32,16,15,36,35,46,45
2384.73,555.56,12,29,25,24,23,22,21,20,19,18,30,31,0,53,52,18,19,33,43,45,46,35
2439.94,546.22,12,29,25,11,12,9,8,7,14,47,36,35,46,45,43,33,34,35,46,45,34,33
2566.13,858.23,12,13,41,29,28,24,25,29,12,11,10,9,12,11,10,9,12,11,25,24,28,27
2153.06,2735.31,1,32,36,35,46,45,43,42,37,38,44,46,35,36,47,49,48,39,27,26,20,21
2557.28,774.63,12,13,8,9,12,29,25,24,28,29,25,11,12,29,41,40,49,51,50,48,49,51
2529.79,608.87,12,13,14,47,49,40,41,47,14,15,36,35,46,45,34,33,19,20,21,22,26,20
2531.03,594.53,12,13,8,9,10,11,12,29,41,47,14,15,6,5,4,17,16,15,14,7,8,9
2873.21,493.08,12,9,10,11,12,29,41,47,14,13,41,40,28,24,25,11,12,13,14,7,8,13
2817.45,498.32,12,9,10,11,25,29,41,47,14,13,41,47,36,35,31,0,53,30,31,0,53,30
